구분,2017,2018,2019
경기도(총합),344.6,247,204
안산시,207.4,40,65
김포시,0,0,85
화성시,137.2,207,54
인천광역시(총합),253.6,2388.8,335.9
중구,65.1,318.7,72.9
강화군,88.6,0,60.2
옹진군,99.9,2070.1,202.8
강원도(총합),1253.9,1353.8,899.1
강릉시,567.6,290,226.3
속초시,126.7,342.6,157
고성군,136.8,193.8,100.4
동해시,37.5,204.4,42.9
삼척시,126.8,159,196.1
양양군,258.5,164,176.5
충청남도(총합),2190.3,2862.3,1990.4
보령시,312.1,832,260.4
서산시,52,47.2,0
서천군,359.9,670.4,520.3
홍성군,192.8,194,154
태안군,1223,1036.7,1023.6
당진시,50.5,82,32
부산광역시(총합),424.8,439.2,290
영도구,201.6,0,0
해운대구,20,0,0
사하구,27.6,95.9,17.5
강서구,0,73.2,103.6
기장군,155.5,270.2,169
기타,20.2,0,0
울산광역시(총합),801.2,478.8,624.9
동구,477.7,176.6,169.9
북구,119.1,150.7,112.3
울주군,94.1,46.2,342.7
기타,110.4,105.3,0
경상북도(총합),1273.9,1376.4,1407.2
포항시,130.6,348.1,345.7
경주시,53.1,52.8,55.9
영덕군,712.4,588.8,379.9
울진군,377.8,266.8,625.8
울릉군,0,120,0
경상남도(총합),8525.2,6779.7,11128.6
창원시,265.9,191.2,0
통영시,2642.2,1279.9,1659.8
사천시,298.9,307.9,437.1
거제시,344.6,493,346.6
고성군,4512.4,2913,0
남해군,329.6,1345.4,78.7
하동군,131.6,249.4,165.1
기타,0,0,8441.3
전라남도(총합),7774.8,16004.8,4368.5
목포시,77,472.5,278.2
여수시,512.6,1880.7,1259
순천시,0,95,11
광양시,106,0,0
고흥군,473.6,1051.5,508.6
보성군,551.3,709,196
장흥군,449.5,422.8,95
강진군,182.6,252,236
해남군,0,1328,191.7
영암군,115.3,49.3,0
무안군,863.6,504.1,61
함평군,172,148.2,0
영광군,236.2,1051,128.9
완도군,392.2,2687.2,537.7
진도군,1406.5,3577.5,315.1
신안군,2236.3,1775.9,550.3
전라북도(총합),1581.7,2117.8,2078.4
군산시,565,1024.6,1066.3
부안군,907.2,1028,1012.1
기타,109.5,65.2,0
제주특별자치도(총합),5095.5,7164.9,1046.1
제주시,4880.9,4649.5,842.2
서귀포시,214.6,2515.4,203.8
해양환경공단(총합),142.5,0,0
기타,142.5,0,0
기타(총합),0,288.3,1426.6
합계,29661.9,41501.7,25799.7
