구분,조사면적(ha),추정량(ton)
평택시,0,0
안산시,0,0
시흥시,0,0
김포시,0,0
화성시,0,0
중구,1500,100
남동구,0,0
동구,0,0
서구,0,0
강화군,0,0
옹진군,130,4
연수구,0,0
강릉시,56,15
속초시,0,0
고성군,0,0
동해시,0,0
삼척시,96,50
양양군,0,0
강원도청,0,0
보령시,0,0
아산시,0,0
서산시,0,0
서천군,0,0
홍성군,0,0
태안군,730,33
당진시,0,0
중구,0,0
서구,0,0
동구,0,0
영도구,0,0
남구,0,0
북구,0,0
해운대구,0,0
사하구,0,0
강서구,0,0
수영구,0,0
사상구,0,0
기장군,0,0
항만관리사업소,0,0
남구,110,12
동구,0,0
북구,0,0
울주군,0,0
포항시,0,0
경주시,0,0
영덕군,150,1
울진군,0,0
울릉군,0,0
창원시,0,0
창원시 마산합포구,0,0
창원시 성산구,0,0
창원시 진해구,0,0
통영시,97,42
사천시,0,0
거제시,0,0
고성군,0,0
남해군,0,0
하동군,1363.5,54
목포시,57,106
여수시,2032,108
순천시,0,0
광양시,0,0
고흥군,115,23
보성군,0,0
장흥군,0,0
강진군,83,8
해남군,0,0
영암군,0,0
무안군,0,0
함평군,0,0
영광군,0,0
완도군,1027,39
진도군,232,33
신안군,300,225
울진군,0,0
군산시,0,0
부안군,12,21
고창군,200,5
제주시,270,150
서귀포시,398,302
